Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_4,1069.767800086694,G2,6371000.0,5.972e+24,100000.0,5.632467891327239,177.46779579423992,0.4937250142008312,0.25,260.674,Success
run_7,1322.65393459936,G2,6371000.0,5.972e+24,100000.0,993.8404941827699,308.9339513528784,0.33007362516581434,0.25,277.317,Success
run_8,269.0274177743646,G2,6371000.0,5.972e+24,100000.0,1678.075375500572,69.52997148816704,0.42822385012556924,0.25,185.835,Success
run_6,1823.6737097257544,G2,6371000.0,5.972e+24,100000.0,7348.895527221346,4.13576931230164,0.029914998833599417,0.25,304.412,Success
run_1,1725.3154881098485,G2,6371000.0,5.972e+24,100000.0,5.17621294861027,12163.706733779623,0.10207304290548089,0.25,303.651,Success
run_0,861.3440204826223,G2,6371000.0,5.972e+24,100000.0,61.53912671397816,29894.625751845084,0.28115872579862533,0.25,255.304,Success
run_2,1344.272509500328,G2,6371000.0,5.972e+24,100000.0,6.758997418627774,62.88214046333769,0.33567240999631986,0.25,277.509,Success
run_9,1713.5560779478526,G2,6371000.0,5.972e+24,100000.0,0.9915705003680925,356.3466145292636,0.18729463942063543,0.25,296.078,Success
run_3,215.54229621008187,G2,6371000.0,5.972e+24,100000.0,5.510376676458338,42296.7719149592,0.09869956077567289,0.25,185.463,Success
run_5,933.196671335754,G2,6371000.0,5.972e+24,100000.0,2259.1276754484993,1384.0410113152138,0.4815431348776415,0.25,252.012,Success
run_11,729.1898652322557,G2,6371000.0,5.972e+24,100000.0,1.6524662746722674,31.123729389191258,0.37914453769376666,0.25,237.929,Success
run_10,1835.1335176852529,G2,6371000.0,5.972e+24,100000.0,88.57909237704672,1134.8821099592953,0.19306760772931092,0.25,302.79,Success
run_12,1019.6973410653158,G2,6371000.0,5.972e+24,100000.0,0.6854791940566547,2119.1632000198215,0.4423349661105102,0.25,258.007,Success
run_14,391.20918876790984,G2,6371000.0,5.972e+24,100000.0,0.270571768377102,238.50956787877365,0.41304783528816175,0.25,203.032,Success
run_16,439.3365069379958,G2,6371000.0,5.972e+24,100000.0,10754.007017263704,2872.7648174257847,0.08698801571642582,0.25,215.857,Success
run_17,420.7015197079088,G2,6371000.0,5.972e+24,100000.0,26275.532821707944,1557.0100025269592,0.26462004985343685,0.25,211.537,Success
run_13,1206.8579843660157,G2,6371000.0,5.972e+24,100000.0,476.68997802132907,0.27480665694832385,0.3330949407030626,0.25,270.636,Success
run_18,257.1782848379719,G2,6371000.0,5.972e+24,100000.0,0.43429190444148924,8.59360810016611,0.20662580987699375,0.25,183.675,Success
run_19,259.98491289369963,G2,6371000.0,5.972e+24,100000.0,0.14318864870991987,25.333426402838455,0.43436783592791783,0.25,183.604,Success
run_15,452.87890481566967,G2,6371000.0,5.972e+24,100000.0,0.26206022500287157,2.625338631856617,0.255763312615627,0.25,211.459,Success
run_20,1751.7731394722236,G2,6371000.0,5.972e+24,100000.0,8.407818594576273,24.386229870165437,0.3874083507876966,0.25,296.337,Success
run_21,1001.4649761068973,G2,6371000.0,5.972e+24,100000.0,9910.108918249536,448.28114664540726,0.339590281249115,0.25,260.488,Success
run_23,1158.2049083179647,G2,6371000.0,5.972e+24,100000.0,1.431142222678485,98.30701076336985,0.010363455514214715,0.25,268.451,Success
run_25,185.12905193924223,G2,6371000.0,5.972e+24,100000.0,113.08413264846851,0.23774323755694832,0.475038446258476,0.25,169.106,Success
run_24,221.95813526248213,G2,6371000.0,5.972e+24,100000.0,0.5734840205060908,0.21203206172455286,0.024324783751934684,0.25,176.977,Success
