Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_2,1940.8860340792141,M5,6371000.0,5.972e+24,100000.0,2.3367367897024693,0.25379989648982243,0.4351843768043294,0.666,388.536,Success
run_0,1036.7947236688055,M5,6371000.0,5.972e+24,100000.0,22.363482490334885,22.14966768695143,0.3630662918431991,0.666,332.357,Success
run_1,484.1707629192206,M5,6371000.0,5.972e+24,100000.0,97.29753841387574,0.4320924168224066,0.06703259290577869,0.666,275.293,Success
run_8,1630.5371332800707,M5,6371000.0,5.972e+24,100000.0,1.3143828180932937,241.20698344630443,0.2126065300579126,0.666,373.29,Success
run_6,1523.3684158887918,M5,6371000.0,5.972e+24,100000.0,0.5244691343394137,5963.252645949259,0.2929352298120905,0.666,370.723,Success
run_3,1930.1824145140386,M5,6371000.0,5.972e+24,100000.0,183.28704072971766,32.909049761090714,0.4793365652968217,0.666,387.572,Success
run_7,801.2774748256625,M5,6371000.0,5.972e+24,100000.0,6525.062623061319,1.1318028206377828,0.11594847767537322,0.666,315.61,Success
run_5,154.591119406218,M5,6371000.0,5.972e+24,100000.0,0.9646046918188849,174.11424271533002,0.37810480833046706,0.666,206.238,Success
run_4,479.35832369632925,M5,6371000.0,5.972e+24,100000.0,9.473043172304374,2.5745661212128597,0.24806405528868747,0.666,274.121,Success
run_9,2021.7800242482754,M5,6371000.0,5.972e+24,100000.0,12613.001993328058,0.6314823478136291,0.02572626421277286,0.666,399.677,Success
run_10,1040.8399939576811,M5,6371000.0,5.972e+24,100000.0,0.366286529977623,0.5412257741841046,0.06422147912945061,0.666,332.642,Success
run_15,1186.9558241732263,M5,6371000.0,5.972e+24,100000.0,0.11297684028405143,247.4280389460368,0.3963217385308098,0.666,343.724,Success
run_13,1659.583779283643,M5,6371000.0,5.972e+24,100000.0,2121.027042964152,6.635683624632905,0.3621466637254286,0.666,375.213,Success
run_14,783.1649597241926,M5,6371000.0,5.972e+24,100000.0,5.340982086841987,286.6607560452126,0.2642296425199739,0.666,310.582,Success
run_16,1333.0361710170998,M5,6371000.0,5.972e+24,100000.0,0.693743495244285,1.0462432335544891,0.16169847322719644,0.666,353.89,Success
run_17,557.5353495189485,M5,6371000.0,5.972e+24,100000.0,9.304529391417002,5758.405346738492,0.08885735944024915,0.666,289.988,Success
run_12,328.4875553733939,M5,6371000.0,5.972e+24,100000.0,23.207139154796607,2536.239826247299,0.3840138065266593,0.666,250.336,Success
run_18,1339.1914745421147,M5,6371000.0,5.972e+24,100000.0,14.625358217200118,4120.137427457819,0.3881677654779826,0.666,356.998,Success
